lambda,agency_regeneration,agency_transformative_gain,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,regime
0.1225,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6392983456635148,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.3727625276175386,0.9139528185022696,0.3676586641746871,0.36070165433648516,homeostatic_trap
0.125,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6337670528422247,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.36505021674209326,0.9139528185022696,0.36489301776404204,0.3662329471577753,homeostatic_trap
0.1275,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6283077850768835,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.35750333727054867,0.9139528185022696,0.3621633838813714,0.37169221492311655,homeostatic_trap
0.13,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6229194415995802,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.3501183146327733,0.9139528185022696,0.3594692121427198,0.37708055840041976,homeostatic_trap
0.1325,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6176009399683157,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.34289165165434154,0.9139528185022696,0.35680996132708753,0.38239906003168433,homeostatic_trap
0.135,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6123512157454778,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.33581992688007606,0.9139528185022696,0.3541850992156686,0.3876487842545222,homeostatic_trap
0.1375,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6071692221821441,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.3288997929338772,0.9139528185022696,0.35159410243400174,0.3928307778178559,homeostatic_trap
0.14,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6020539299081357,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.3221279749140888,0.9139528185022696,0.34903645629699753,0.39794607009186433,homeostatic_trap
0.1425,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.597004326627684,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.3155012688236035,0.9139528185022696,0.3465116546567717,0.402995673372316,homeostatic_trap
0.145,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5920194168206291,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.30901654003397716,0.9139528185022696,0.34401919975324424,0.4079805831793709,homeostatic_trap
0.1475,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5870982214490309,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.30267072178279647,0.9139528185022696,0.34155860206744515,0.4129017785509691,homeostatic_trap
