boundary,lambda,agency_regeneration,agency_transformative_gain,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,R_eff,regime
homeostatic_trap_boundary,0.0565,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8156276352718773,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.65065217912256,0.9139528185022696,0.45582330897886836,0.18437236472812268,9.08066017354436,capacity_suppression
homeostatic_trap_boundary,0.05675,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8148329660164905,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.649270595814596,0.9139528185022696,0.45542597435117493,0.18516703398350953,9.12084008581668,homeostatic_trap
homeostatic_trap_boundary,0.057,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8140394012283793,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6478920148586192,0.9139528185022696,0.45502919195711933,0.18596059877162074,9.161019998089,homeostatic_trap
homeostatic_trap_boundary,0.05725,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8132469391454062,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6465164296988437,0.9139528185022696,0.4546329609156328,0.18675306085459376,9.20119991036132,homeostatic_trap
homeostatic_trap_boundary,0.0575,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8124555780084614,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6451438337938084,0.9139528185022696,0.4542372803471604,0.18754442199153865,9.24137982263364,homeostatic_trap
homeostatic_trap_boundary,0.05775,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8116653160614573,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6437742206163584,0.9139528185022696,0.45384214937365835,0.1883346839385427,9.28155973490596,homeostatic_trap
homeostatic_trap_boundary,0.058,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8108761515513224,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6424075836536051,0.9139528185022696,0.4534475671185909,0.18912384844867758,9.32173964717828,homeostatic_trap
homeostatic_trap_boundary,0.05825,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.810088082727998,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6410439164069034,0.9139528185022696,0.4530535327069287,0.18991191727200196,9.3619195594506,homeostatic_trap
homeostatic_trap_boundary,0.0585,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8093011078444289,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6396832123918073,0.9139528185022696,0.45266004526514414,0.19069889215557112,9.402099471722922,homeostatic_trap
homeostatic_trap_boundary,0.05875,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8085152251565638,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6383254651380607,0.9139528185022696,0.4522671039212116,0.19148477484343618,9.44227938399524,homeostatic_trap
